Name;Kategorie;Konstitution;Geschick;Reaktion;Stärke;Willenskraft;Logik;Intuition;Charisma;Initiative;Edge;Magie;Quelle;Seite;Rüstung
Hund;Mundane Critter;7;6;7;7;6;7;5;6;;6;;SR5;402;
Großkatze;Mundane Critter;9;8;7;8;6;6;5;6;;6;;SR5;402;
Pferd;Mundane Critter;11;8;8;11;7;6;5;6;;5;;SR5;403;
Hai;Mundane Critter;8;7;8;8;4;7;4;6;;5;;SR5;403;
Wolf;Mundane Critter;9;6;8;8;6;7;5;6;;6;;SR5;403;
Teufelsratte;Paranormale Critter;2;5;5;1;3;2;5;5;;5;6;SR5;404;
Ghul;Paranormale Critter;7;3;5;6;5;2;4;1;;6;5;SR5;404;
Höllenhund;Paranormale Critter;6;4;5;6;4;2;4;3;;6;8;SR5;405;
Barghest;Paranormale Critter;8;5;6;6;4;2;5;5;;7;8;SR5;403;
Sasquatch;Paranormale Critter;8;3;4;7;3;3;5;3;;7;7;SR5;406;
Vampir;Paranormale Critter;4;3;5;4;4;3;4;5;;6;6;SR5;406;
Schreckhahn;Paranormale Critter;4;5;4;4;4;2;3;1;;4;8;SR5;404;
Basilisk;Paranormale Critter;6;3;3;7;5;1;3;1;;1;6;SR5;404;
Bär;Mundane Critter;12;7;8;11;6;5;4;7;;6;;HS;39;
Seelöwe;Mundane Critter;10;7;7;8;5;7;4;6;;6;;HS;43;
Tintenfisch;Mundane Critter;7;8;6;8;6;7;5;5;;6;;HS;43;
Delphin;Mundane Critter;11;8;8;10;7;7;5;7;;6;;HS;42;
Barrakuda;Mundane Critter;5;5;6;5;4;5;3;5;;6;;HS;42;
Orca;Mundane Critter;15;9;9;16;5;8;5;11;;6;;HS;43;
Alligator;Mundane Critter;11;8;7;12;5;5;4;4;;6;;HS;39;
Wildschwein;Mundane Critter;9;5;7;8;5;5;4;5;;5;;HS;39;
Ratte;Mundane Critter;4;6;5;3;4;4;4;4;;6;;HS;46;
Elefant;Mundane Critter;15;7;7;19;6;6;5;5;;5;;HS;41;
Giraffe;Mundane Critter;13;6;6;11;5;5;4;5;;5;;HS;41;
Schimpanse;Mundane Critter;7;7;7;7;6;7;5;6;;6;;HS;40;
Hauskatze;Mundane Critter;5;7;6;4;6;5;5;5;;6;;HS;45;
Frettchen;Mundane Critter;4;5;5;4;5;5;4;6;;6;;HS;46;
Waschbär;Mundane Critter;4;7;6;4;5;7;4;6;;5;;HS;46;
Schlange;Mundane Critter;5;7;5;6;4;5;3;5;;6;;HS;42;
Küchenschabe;Mundane Critter;4;5;8;3;3;5;3;5;;5;;HS;45;
Spinne;Mundane Critter;4;5;5;3;4;4;3;4;;6;;HS;47;
Krähe;Mundane Critter;5;6;5;4;6;8;4;5;;5;;HS;45;
Adler;Mundane Critter;6;8;7;5;6;7;4;6;;7;;HS;41;
Salzwasserkrokodil;Mundane Critter;12;10;7;12;5;6;4;6;;6;;HS;39;
Abramshummer;Paranormale Critter;4;3;2;7;3;4;3;1;;5;6;HS;53;
Merrow;Paranormale Critter;5;3;5;5;3;3;3;3;;3;6;HS;68;
Naga;Paranormale Critter;5;2;4;6;4;3;4;3;;4;6;HS;68;
Wendigo (Magier);Paranormale Critter;8;3;5;6;4;3;4;4;;6;6;HS;91;
Wendigo (Magieradept);Paranormale Critter;8;3;5;6;4;3;4;4;;6;6;HS;91;
Harpyie;Paranormale Critter;4;5;4;4;2;2;3;1;;1;6;HS;62;
Donnervogel, Größerer;Paranormale Critter;4;3;7;8;3;2;4;1;;1;9;HS;73;
Rock;Paranormale Critter;4;5;4;4;2;2;4;1;;1;6;HS;71;
Schattenhund;Paranormale Critter;4;4;4;5;3;2;4;1;;1;7;HS;71;
Novaskorpion;Paranormale Critter;4;4;4;3;3;2;5;1;;2;6;HS;69;
Oz-Pavian;Paranormale Critter;5;5;4;4;2;2;5;4;;2;7;HS;69;
Teufelshecht;Paranormale Critter;5;4;5;5;2;1;3;2;;2;6;HS;59;
Zentaur;Paranormale Critter;7;3;3;7;3;3;3;3;;1;6;HS;56;
Moloch;Paranormale Critter;20;6;5;42;9;1;3;1;;4;9;HS;65;
Pegasus;Paranormale Critter;8;5;6;7;3;2;4;2;;2;7;HS;70;
Peryton;Paranormale Critter;8;5;5;7;4;2;4;2;;1;7;HS;71;
Einhorn;Paranormale Critter;7;5;5;9;4;2;4;6;;2;8;HS;76;
Meistersinger;Paranormale Critter;20;5;4;30;8;3;4;5;;3;9;HS;66;
Gomatia;Paranormale Critter;6;3;1;6;3;2;6;1;;2;6;HS;62;
Grottenschrat;Paranormale Critter;3;3;4;2;3;2;3;2;;1;5;HS;75;
Zerberus;Paranormale Critter;6;4;5;6;4;2;6;3;;2;8;HS;56;
Todesklapper;Paranormale Critter;3;6;8;4;2;1;5;2;;2;7;HS;57;
Todesspiralenfalter;Paranormale Critter;1;4;5;1;4;2;4;6;;2;9;HS;58;
Hornbär;Paranormale Critter;13;4;4;13;5;4;4;1;;2;8;HS;64;
Schneeschlange;Paranormale Critter;2;7;5;2;2;1;4;1;;1;6;HS;71;
Monsterspinne;Paranormale Critter;2;4;4;2;3;1;3;1;;1;9;HS;73;
Agropelzer;Paranormale Critter;2;3;4;2;2;4;4;1;;4;6;HS;53;
Killermandrill;Paranormale Critter;8;4;5;9;3;2;3;2;;2;7;HS;55;
Blutaffe;Paranormale Critter;3;5;3;4;4;2;2;3;;2;8;HS;55;
Fenriswolf;Paranormale Critter;7;5;4;8;5;2;5;2;;2;8;HS;61;
Mantikor;Paranormale Critter;7;5;5;6;3;2;4;1;;1;6;HS;65;
Phönixartige;Paranormale Critter;3;5;4;4;2;2;4;1;;4;8;HS;70;
Piasma;Paranormale Critter;12;5;5;12;4;2;4;1;;2;6;HS;71;
Bombardier-Stachelschwein;Paranormale Critter;2;4;2;2;3;1;3;2;;2;7;HS;76;
Riesenvielfraß;Paranormale Critter;7;6;5;5;4;2;4;1;;1;6;HS;77;
Teufelsanbeterin;Paranormale Critter;4;4;4;3;3;2;4;2;;3;7;RW;151;
Bandit;Paranormale Critter;2;4;3;2;3;3;5;3;;2;6;HS;54;
Dämonenratte;Paranormale Critter;5;5;5;4;4;4;5;5;;3;9;HS;59;
Gargyl;Paranormale Critter;10;4;5;10;4;2;4;1;;1;8;HS;61;
Afanc;Paranormale Critter;10;4;4;8;4;2;4;2;;2;7;HS;53;
Behemoth;Paranormale Critter;14;4;3;18;5;2;2;1;;1;6;HS;54;
Amphorenwanze;Mutierte Critter;0;2;2;0;1;1;2;1;;7;;HS;92;0
Engelshörnchen;Mutierte Critter;1;5;4;1;1;4;2;2;;5;10;HS;93;1
Blitzfaultier;Mutierte Critter;6;8;11;5;4;5;1;4;;6;;HS;93;4
Conways Gepard;Mutierte Critter;7;8;6;6;4;6;2;5;;7;10;HS;94;6
Giftplattwurm;Mutierte Critter;1;2;2;1;1;1;2;1;;7;;HS;95;0
Glühratte;Toxische Critter;6;9;9;5;7;6;9;9;;2;6;HS;95;
Höllenkuh;Mutierte Critter;10;3;3;8;1;1;1;1;;6;;HS;96;10
Schilleruhu;Mutierte Critter;4;6;5;3;5;4;2;6;;7;;HS;97;6H
Killdeer;Mutierte Critter;5;6;5;5;4;5;1;1;;2;;HS;97;
Neogargyl;Mutierte Critter;1;3;2;1;3;3;3;1;;3;6;HS;99;
Meeresegel;Toxische Critter;11;7;6;12;5;7;8;7;;4;6;HS;102;
Razorcat (small);Toxische Critter;4;5;8;2;3;2;5;4;;9;6;HS;102;
Razorcat (large);Toxische Critter;7;6;8;6;4;2;6;5;;6;6;HS;102;
Kokoro-Kobra;Toxische Critter;11;8;9;5;6;2;6;2;;2;6;HS;98;
Montauk;Toxische Critter;2;4;3;2;3;5;3;3;;2;4;HS;99;
Pandamonium;Mutierte Critter;6;4;5;8;3;1;5;4;;3;0;HS;100;
Strahlenhund (klein);Toxische Critter;6;4;5;4;3;2;6;4;;3;6;HS;101;
Strahlenhund (groß);Toxische Critter;6;8;5;7;1;1;3;3;;3;6;HS;101;
Shardik;Toxische Critter;16;8;6;14;6;4;6;5;;4;6;HS;104;
Zitterlachs;Toxische Critter;3;4;4;4;2;1;5;2;;2;6;HS;104;
