Name;Essenz;Quelle;Seite;limit;Kategorie;Kapazit‰t;limbslot;blocksmounts;mountsto
Kompositknochen (Aluminium);1;SR5;454;;Bodyware;0;;;
Kompositknochen (Kunststoff);0.5;SR5;454;;Bodyware;0;;;
Kompositknochen (Titan);1.5;SR5;454;;Bodyware;0;;;
Offensichtlicher Ganzer Arm;1;SR5;456;{arm};Cybergliedmaﬂen;15;arm;wrist,elbow,shoulder;
Offensichtliches Ganzes Bein;1;SR5;456;{leg};Cybergliedmaﬂen;20;leg;ankle,knee,hip;
Offensichtlicher Fuﬂ;0.25;SR5;456;{leg};Cybergliedmaﬂen;4;;ankle,knee,hip;
Offensichtliche Hand;0.25;SR5;456;{arm};Cybergliedmaﬂen;4;;wrist,elbow,shoulder;
Offensichtlicher Unterarm;0.45;SR5;456;{arm};Cybergliedmaﬂen;10;;wrist,elbow,shoulder;
Offensichtlicher Unterschenkel;0.45;SR5;456;{leg};Cybergliedmaﬂen;12;;ankle,knee,hip;
Offensichtlicher Torso;1.5;SR5;456;{torso};Cybergliedmaﬂen;10;torso;;
Offensichtlicher Sch‰del;0.75;SR5;456;{skull};Cybergliedmaﬂen;4;skull;;
Synthetischer Ganzer Arm;1;SR5;456;{arm};Cybergliedmaﬂen;8;arm;wrist,elbow,shoulder;
Synthetisches Ganzes Bein;1;SR5;456;{leg};Cybergliedmaﬂen;10;leg;ankle,knee,hip;
Synthetischer Fuﬂ;0.25;SR5;456;{leg};Cybergliedmaﬂen;2;;ankle,knee,hip;
Synthetische Hand;0.25;SR5;456;{arm};Cybergliedmaﬂen;2;;wrist,elbow,shoulder;
Synthetischer Unterarm;0.45;SR5;456;{arm};Cybergliedmaﬂen;5;;wrist,elbow,shoulder;
Synthetischer Unterschenkel;0.45;SR5;456;{leg};Cybergliedmaﬂen;6;;ankle,knee,hip;
Synthetischer Torso;1.5;SR5;456;{torso};Cybergliedmaﬂen;5;torso;;
Synthetischer Sch‰del;0.75;SR5;456;{skull};Cybergliedmaﬂen;2;skull;;
Primitive Prothese (Ganzer Arm);0;CF;86;{arm};Cybergliedmaﬂen;0;arm;;
Primitive Prothese (Unterarm);0;CF;86;{arm};Cybergliedmaﬂen;0;;;
Primitive Prothese (Hand);0;CF;86;{arm};Cybergliedmaﬂen;0;;;
Primitive Prothese (Ganzes Bein);0;CF;86;{leg};Cybergliedmaﬂen;0;leg;;
Primitive Prothese (Unterschenkel);0;CF;86;{leg};Cybergliedmaﬂen;0;;;
Primitive Prothese (Fuﬂ);0;CF;86;{leg};Cybergliedmaﬂen;0;;;
Modulare Verbindung, Handgelenk;0.35;CF;88;{arm};Cybergliedmaﬂen;[5];;wrist,elbow,shoulder;
Modulare Verbindung, Knˆchel;0.35;CF;88;{leg};Cybergliedmaﬂen;[5];;ankle,knee,hip;
Modulare Verbindung, Ellenbogen;0.65;CF;88;{arm};Cybergliedmaﬂen;[10];;wrist,elbow,shoulder;
Modulare Verbindung, Knie;0.65;CF;88;{leg};Cybergliedmaﬂen;[10];;ankle,knee,hip;
Modulare Verbindung, Schulter;1.3;CF;88;{arm};Cybergliedmaﬂen;0;arm;wrist,elbow,shoulder;
Modulare Verbindung, H¸fte;1.3;CF;88;{leg};Cybergliedmaﬂen;0;leg;ankle,knee,hip;
Partieller Cybersch‰del;0.4;CF;88;{skull};Cybergliedmaﬂen;4;;;
Cyberlimb Full Arm, Obvious (2050);1;2050;203;{arm};Cybergliedmaﬂen;15;arm;wrist,elbow,shoulder;
Cyberlimb Full Leg, Obvious (2050);1;2050;203;{leg};Cybergliedmaﬂen;20;leg;ankle,knee,hip;
Ganzer Cyberarm, Syntetisch;1;2050;203;{arm};Cybergliedmaﬂen;8;arm;wrist,elbow,shoulder;
Ganzes Cyberbein, Syntetisch;1;2050;203;{leg};Cybergliedmaﬂen;10;leg;ankle,knee,hip;
