Name;Konstitution;Geschick;Reaktion;Stärke;Willenskraft;Logik;Intuition;Charisma;Initiativwürfel;Waffenlos;Fundstelle;Änderung Initiative;Standardkraft;Optionale Kraft
Erdgeist/Ödnisgeist;F+4;F-2;F-1;F+4;F+0;F-1;F+0;F+0;+2W6;2;SR5 S. 302;-1;Astrale Gestalt, Bewegung, Bewusstsein, Bindung, Materialisierung, Schutz, Suche;Elementarer Angriff (Erde), Grauen, Verschleierung, Verschlingen (Erde), Verwirrung
Feuergeist/Nukleargeist;F+1;F+2;F+3;F-2;F+0;F+0;F+1;F+0;+2W6;2;SR5 S. 302;3;Astrale Gestalt, Bewusstsein, Elementarer Angriff (Feuer), Energieaura, Materialisierung, Unfall, Verschlingen (Feuer), Verwirrung;Gifthauch, Grauen, Schutz, Suche
Luftgeist/Smoggeist;F-2;F+3;F+4;F-3;F+0;F+0;F+0;F+0;+2W6;2;SR5 S. 303;4;Astrale Gestalt, Bewegung, Bewusstsein, Materialisierung, Suche, Unfall, Verschleierung, Verschlingen (Luft), Verwirrung;Elementarer Angriff (Luft), Energieaura, Gifthauch, Grauen, Psychokinese, Schutz
Menschengeist/Seuchengeist;F+1;F+0;F+2;F-2;F+0;F+0;F+1;F+0;+2W6;2;SR5 S. 303;2;Astrale Gestalt, Bewusstsein, Einfluss, Materialisierung, Schutz, Suche, Unfall, Verschleierung, Verwirrung;Bewegung, Grauen, Zauberspruch, Psychokinese
Tiergeist/Abscheulichkeit;F+2;F+1;F+0;F+2;F+0;F+0;F+0;F+0;+2W6;2;SR5 S. 303;0;Astrale Gestalt, Bewegung, Bewusstsein, Grauen, Materialisierung, Tierbeherrschung;Gift, Gifthauch, Natürliche Waffe, Schutz, Suche, Verschleierung, Verwirrung
Wassergeist/Schlammgeist;F+0;F+1;F+2;F+0;F+0;F+0;F+0;F+0;+2W6;2;SR5 S. 303;2;Astrale Gestalt, Bewegung, Bewusstsein, Materialisierung, Suche, Verschleierung, Verschlingen (Wasser), Verwirrung;Bindung, Elementarer Angriff (Wasser), Energieaura, Schutz, Unfall, Wetterbeherrschung
Beschützergeist;F+1;F+2;F+3;F+2;F+0;F+0;F+0;F+0;+2W6;2;SG S. 223;3;Astrale Gestalt, Bewegung, Bewusstsein, Grauen, Magischer Schutz, Materialisierung, Schutz;Elementarer Angriff, Natürliche Waffe, Fertigkeit, Psychokinese, Tierbeherrschung, Verschleierung
Helfergeist;F+0;F+0;F+2;F+2;F+0;F+0;F+0;F+0;+2W6;2;SG S. 223;2;Astrale Gestalt, Bewegung, Bewusstsein, Bindung, Materialisierung, Suche, Unfall;Einfluss, Fertigkeit, Gesteigerte Sinne, Psychokinese, Verschleierung
Pflanzengeist;F+2;F-1;F+0;F+1;F+0;F-1;F+0;F+0;+2W6;2;SG S. 223;0;Astrale Gestalt ,Bewusstsein, Grauen, Magischer Schutz, Materialisierung, Schutz, Stille, Verschleierung, Verschlingen (Erde);Bewegung, Gifthauch, Suche, Unfall, Verwirrung
Ratgebergeist;F+3;F-1;F+2;F+1;F+0;F+0;F+0;F+0;+2W6;2;SG S. 224;2;Astrale Gestalt, Bewusstsein, Magischer Schutz, Materialisierung, Schatten, Schutz, Suche, Verwirrung, Weissagung;Einfluss, Gesteigerte Sinne, Grauen, Verschlingen (Luft)
