Name;ART;HANDLUNG;REICHWEITE;DAUER;SEITE;Widerstand;Elementarschaden;Erläuterungen
Alchera Erschaffen;M;Komplex;BF;A;CR S. 184;;;ALCHERA ERSCHAFFEN Art: M Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Der Geist kann eine kleine Alchera materialisieren lassen, die den Regeln für materialisierte Alcheras (Straßengrimoire, S. 29) folgt. Die Alchera führt zu einer Metaebene nach Wahl des Geistes – meistens seiner Heimatebene. Diese Alcheras können nicht größer sein als [Kraftstufe des Geistes x 100] Quadratmeter. Wenn der Geist die Alchera nicht mehr sehen kann oder aufhört, sie aufrechtzuerhalten, verschwindet sie. Das kann für jemanden, der sich gerade darin bendet, extrem unpraktisch sein.
Anaphylaxie;P;Komplex;B;S;SG S. 224;KON+WIL+Schutz;;ANAPHYLAXIE Art: P Handlung: Komplex Reichweite: Berührung Dauer: Sofort Anaphylaxie ist eine massive Reaktion des Immunsystems auf den Angriff eines toxischen Geistes mit Schadstoffen. Sie gilt als Toxinangriff mit den folgenden Werten: Vektor: Inhalation Geschwindigkeit: Sofort Durchdringung: 0 Kraft: Kraftstufe Wirkung: Anaphylaktischer Schock Körperlicher Schaden Anaphylaktischer Schock: Wenn das Opfer dem Schaden nicht vollständig widersteht, verfällt es in einen anaphylaktischen Schock, der Muskelkrämpfe, Kreislaufstörungen und schließlich den Tod zur Folge hat, wenn er nicht schnell behandelt wird. Das Opfer erleidet pro Kampfrunde 1 Punkt Körperlichen Schaden, bis es an Kreislaufversagen stirbt, wenn es nicht mit den richtigen Medikamenten (z. B. aus einem Medkit) und einer erfolgreichen Probe auf Erste Hilfe + Logik [Geistig] (2) oder den Zaubern Gegenmittel, Entgiftung oder Heilen behandelt wird.
Astrale Gestalt;M;Auto;S;I;SR5 S. 395;;;"ASTRALE GESTALT Art: M Handlung: Auto Reichweite: Selbst Dauer: Immer Ein Critter mit dieser Kraft existiert nur auf der Astralebene. Nur astrale Angriffe und Manazauber oder -kräfte können einen astralen Critter verletzen; physische Angriffe, Zauber oder Kräfte haben keine Wirkung. Aber auch das Gegenteil gilt: Ein astraler Critter kann nur auf Dualwesen oder Wesen einwirken, die sich (durch astrale Projektion oder astrale Wahrnehmung) auf der Astralebene beenden. Critter mit dieser Kraft können sich auf der physischen Ebene auf die gleiche Weise manifestieren wie astral projizierende Zauberer (siehe S. 131)."
Astrale Projektion;M;Komplex;S;Speziell;SG S. 239;;;ASTRALE PROJEKTION (nur freie Geister) Art: M Handlung: Komplex Reichweite: Selbst Dauer: Speziell Der Geist kann wie ein Zauberer astral projizieren (SR5, S. 313). Diese Kraft steht nur Geistern mit der Kraft Bewohnung zur Verfügung. Ein Geist, der nicht innerhalb von [Kraftstufe x 2] Stunden in den Körper zurückkehrt, wird verdrängt.
Astrales Gift;M;Auto;S;I;CR S. 184;nicht möglich;;ASTRALES GIFT Art: M Handlung: Auto Reichweite: Selbst Dauer: Immer Der Geist geht eine besonders gefährliche Verbindung mit dem Magieanwender ein (oder vielleicht auch umgekehrt). Wenn der Geist entlassen oder durch Schaden verdrängt wird oder auf andere Weise aus dem Dienst des Beschwörers verschwindet, erleidet dieser eine Anzahl an Geistigen Schadenskästchen gleich der (aufgerundeten) Hälfte des Magieattributs des Geistes. Diesem Schaden kann nicht widerstanden werden.
Astrales Tor;M;Komplex;BF (F);A;SG S. 224;;;ASTRALES TOR (SG) Art: M Handlung: Komplex Reichweite: BF (F) Dauer: Aufrechterhalten Der Geist kann einen astralen Riss mit einem Radius von [Kraftstufe des Geistes] Metern öffnen, der alle Objekte in der Gegend zwingt, zu Dualwesen zu werden, und sogar Mundanen die astrale Projektion gestattet. Ein astraler Riss kann auf jede Metaebene führen, die der Geist besuchen kann. ? Geist kann andere Geister beschwören!
Ätzender Speichel;P;Komplex;Speziell;S;SR5 S. 395;REA+INT? KON+Panz/DK-Kraftstufe;Säureschaden SR5: S. 175;ÄTZENDER SPEICHEL Art: P Handlung: Komplex Reichweite: Speziell Dauer: Sofort Der Speichel des Critters (oder eine andere Substanz, die er verschießen oder versprühen kann) ist extrem ätzend und kann als Waffe verwendet werden. Der Angriff wird wie ein normaler Fernkampfangriff behandelt, mit der Fertigkeit Exotische Fernkampfwaffe + Geschicklichkeit [Körperlich] des Critters und Reichweitenschritten, die alle (Konstitution) Meter ansteigen. Der Speichel verursacht Säureschaden (S. 175) mit einem Schadenscode von (Magie x 2)K und einer Durchschlagskraft von –(Magieattribut des Critters).
Ätzendes Sekret;P;Auto;S;I;CR S. 185;KON+Panz+Schutz/DK-Kraftstufe;Säureschaden SR5: S. 175;ÄTZENDES SEKRET Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Manche Critter spucken schädliche Chemikalien auf ihre Opfer. Andere dünsten sie einfach aus. Die Haut eines solchen Critters sondert eine stark korrodierende Substanz ab, die vor allem der Verteidigung dient. Das Sekret verursacht Säureschaden (SR5, S. 175) mit einem Schaden von (Magie x 2)K und einer DK von –(Magie des Critters). Dieser Schaden wirkt gegen jeden und alles, das den Critter berührt, außer gegen den Critter selbst, der immun gegen sein eigenes Ätzende Sekret ist.
Auramaskierung;M;Frei;S;A;SG S. 224;Askennen vs. Edge+Magie;;AURAMASKIERUNG (SG) Art: M Handlung: Frei Reichweite: Selbst Dauer: Aufrechterhalten Manchmal will ein Geist nicht, dass man seine natürliche Aura askennen kann. Diese Kraft funktioniert wie die Metamagien Maskierung (S. 173) und Erweiterte Maskierung (S. 174). Der Geist verwendet sein Edgeattribut statt dem Initiatengrad. Er kann auch die Anwendung von Geisterkräften auf sich selbst maskieren. Nur ein Zauberer, der die Maskierung durchschaut, kann sie dann wahrnehmen. Ein Geist kann sich wie ein anderes Astralwesen erscheinen lassen, aber nicht als Mundaner, wenn er nicht an einen physischen Körper gebunden ist oder die Kraft Realistische Gestalt (S. 229) besitzt.
Begierdenspiegelung;M;Komplex;BF;A;SG S. 224;MAG+INT vs. WIL+INT;;BEGIERDENSPIEGELUNG Art: M Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Diese Kraft erkennt das größte Verlangen eines einzelnen Opfers im Blickfeld des Geistes und gaukelt diesem Opfer eine vollsensorische Illusion seiner Begierde vor. Manche Geister nutzen diese Kraft, um potenzielle Opfer anzulocken. Der Geist selbst kann als harmloser oder angenehmer Teil der Illusion auftreten. Um diese Kraft einzusetzen, legt der Geist eine Vergleichende Probe auf Magie + Intuition gegen Willenskraft + Intuition des Opfers ab. Wenn er mindestens einen Nettoerfolg erzielt, hält das Opfer die Illusion für wahr. Ansonsten wirkt die Kraft nicht. Die Opfer verhalten sich, als würden ihre Träume direkt vor ihnen wahr. Wenn das Opfer angegriffen, verletzt, geschlagen oder anders abgelenkt wird, darf es eine weitere Vergleichende Probe wie oben ablegen, um die Illusion zu durchschauen. Wenn die Ablenkung direkt von einem Teil der Illusion kommt, erhält es für die Probe einen Würfelpoolbonus von +2. Jeder Erfolg senkt die Nettoerfolge des Geistes bei der ersten Vergleichenden Probe. Wenn diese auf 0 sinken, ist die Illusion vorbei.
