Name;Konstitution;Geschick;Reaktion;Stärke;Willenskraft;Logik;Intuition;Charisma;Edge;Essenz;Magie;Panzerung;Initiativwürfel;Akrobatik;Antimagie;Gewehre;Klingenwaffen;Knüppel;Pistolen;Projektilwaffen;Schleichen;Schnellfeuerwaffen;Schwere Waffen;Schwimmen;Spruchzauberei;Waffenloser Kampf;Wahrnehmung;Wurfwaffen
Mensch1;4;4;3;4;3;2;3;3;2;6;0;9;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Elf1;4;5;3;4;3;2;3;5;1;6;0;9;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Ork1;7;4;3;6;3;1;3;2;1;6;0;9;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Troll1;8;3;3;8;3;1;2;1;1;6;0;10;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Zwerg1;6;4;2;6;4;2;3;3;1;6;0;9;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Mensch2;4;4;4;3;3;2;3;3;2;6;0;12;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Elf2;4;5;4;3;3;2;3;5;1;6;0;12;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Ork2;7;4;4;5;3;1;3;2;1;6;0;12;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Troll2;8;3;4;7;3;1;2;1;1;6;0;13;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Zwerg2;6;4;3;5;4;2;3;3;1;6;0;12;+1W6;3;0;4;4;4;4;4;4;4;4;4;0;3;4;3
Mensch3;4;3;4;3;3;2;3;3;3;6;0;12;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;4;4;4
Elf3;4;4;4;3;3;2;3;5;2;6;0;12;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;4;4;4
Ork3;7;3;4;5;3;1;3;2;2;6;0;12;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;4;4;4
Troll3;8;2;4;7;3;1;2;1;2;6;0;13;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;4;4;4
Zwerg3;6;3;3;5;4;2;3;3;2;6;0;12;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;4;4;4
Mensch4;4;5;4;4;4;3;4;3;3;6;0;9;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;6;4;6
Elf4;4;6;4;4;4;3;4;5;2;6;0;9;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;6;4;6
Ork4;7;5;4;6;4;2;4;2;2;6;0;9;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;6;4;6
Troll4;8;4;4;8;4;2;3;1;2;6;0;10;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;6;4;6
Zwerg4;6;5;3;6;5;3;4;3;2;6;0;9;+1W6;4;0;4;4;4;4;4;4;4;4;4;0;6;4;6
Mensch5;6;7;7;6;4;4;5;3;4;1,9;0;18;+3W6;5;0;5;5;5;5;5;5;5;5;5;0;7;5;7
Elf5;6;8;7;6;4;4;5;5;3;1,9;0;18;+3W6;5;0;5;5;5;5;5;5;5;5;5;0;7;5;7
Ork5;9;7;7;8;4;3;5;2;3;1,9;0;18;+3W6;5;0;5;5;5;5;5;5;5;5;5;0;7;5;7
Troll5;10;6;7;10;4;3;4;1;3;1,9;0;19;+3W6;5;0;5;5;5;5;5;5;5;5;5;0;7;5;7
Zwerg5;8;7;6;8;5;4;5;3;3;1,9;0;18;+3W6;5;0;5;5;5;5;5;5;5;5;5;0;7;5;7
