Name;Kategorie;Rüstung;Quelle;Seite;addmodcategory;addweapon;mods;armoroverride
Actioneer Geschäftskleidung;Panzerung;8;SR5;437;;;;
Panzerkleidung;Panzerung;6;SR5;437;;;;
Panzerjacke;Panzerung;12;SR5;437;;;;
Panzerweste;Panzerung;9;SR5;437;;;;
Chamäleonanzug;Panzerung;9;SR5;437;;;;
Ganzkörperpanzerung;Panzerung;15;SR5;437;Full Body Armor Mods;;;
Gefütterter Mantel;Panzerung;9;SR5;437;;;;
Urban Explorer Overall;Panzerung;9;SR5;437;Urban Explorer Jumpsuit Accessories;;;
Helm;Panzerung;+2;SR5;438;;;;
Ballistischer Schild;Panzerung;+6;SR5;438;;Ballistic Shield;;
Schutzschild;Panzerung;+6;SR5;438;;Riot Shield;;
Armanté Anzug;Hochmodische Panzerkleidung;8;RG;57;;;;
Armanté Kleid;Hochmodische Panzerkleidung;8;RG;57;;;;
Mortimer of London: Berwick Anzug;Hochmodische Panzerkleidung;9;RG;58;;;Maßanfertigung;
Mortimer of London: Berwick Kleid;Hochmodische Panzerkleidung;8;RG;58;;;Maßanfertigung;
Mortimer of London: Crimson Sky Anzug;Hochmodische Panzerkleidung;8;RG;58;;;Maßanfertigung;
Mortimer of London: Summit Anzug;Hochmodische Panzerkleidung;8;RG;58;;;Maßanfertigung;
Mortimer of London: Summit Kleid;Hochmodische Panzerkleidung;7;RG;58;;;Maßanfertigung;
Mortimer of London: Greatcoat Mantel;Hochmodische Panzerkleidung;10;RG;58;;;Maßanfertigung (Kombination);+3
Mortimer of London: Ulysses Mantel;Hochmodische Panzerkleidung;10;RG;58;;;Maßanfertigung (Kombination);+3
Mortimer of London: Argentum Mantel;Hochmodische Panzerkleidung;12;RG;58;;;Maßanfertigung (Kombination);+4
Vashon Island: Ace of Cups;Hochmodische Panzerkleidung;9;RG;60;;;;
Vashon Island: Ace of Swords;Hochmodische Panzerkleidung;7;RG;60;;;;
Vashon Island: Ace of Wands;Hochmodische Panzerkleidung;6;RG;60;;;Schnellzugriff;
Vashon Island: Ace of Coins;Hochmodische Panzerkleidung;7;RG;60;;;;
Vashon Island: Ace of Spades;Hochmodische Panzerkleidung;7;RG;60;;;;
Vashon Island: Ace of Clubs;Hochmodische Panzerkleidung;7;RG;60;;;;
Vashon Island: Ace of Hearts;Hochmodische Panzerkleidung;7;RG;60;;;;
Vashon Island: Ace of Diamonds;Hochmodische Panzerkleidung;8;RG;60;;;Tarnbarkeit;
Vashon Island: Steampunk;Hochmodische Panzerkleidung;10;RG;61;;;Maßanfertigung;
Vashon Island: Synergist Business;Hochmodische Panzerkleidung;9;RG;61;;;Maßanfertigung;
Vashon Island: Synergist Business Mantel;Hochmodische Panzerkleidung;10;RG;61;;;Maßanfertigung (Kombination);+3
Vashon Island: Sleeping Tiger;Hochmodische Panzerkleidung;13;RG;61;;;Maßanfertigung;
Zoé: Executive Suite;Hochmodische Panzerkleidung;12;RG;61;;;Maßanfertigung;
Zoé: Heritage 4;Hochmodische Panzerkleidung;4;RG;62;;;Maßanfertigung;
Zoé: Heritage 6;Hochmodische Panzerkleidung;6;RG;62;;;Maßanfertigung;
Zoé: Heritage 8;Hochmodische Panzerkleidung;8;RG;62;;;Maßanfertigung;
Zoé: Heritage 10;Hochmodische Panzerkleidung;10;RG;62;;;Maßanfertigung;
Zoé: Heritage 12;Hochmodische Panzerkleidung;12;RG;62;;;Maßanfertigung;
Zoé: Nightshade/Moonsilver;Hochmodische Panzerkleidung;7;RG;62;Nightshade IR;;Maßanfertigung;
Zoé: Second Skin;Hochmodische Panzerkleidung;6;RG;63;;;Maßanfertigung (Kombination);+2
Ares Victory: Globetrotter Jacke;Hochmodische Panzerkleidung;12;RG;63;;;;
Ares Victory: Globetrotter Weste;Hochmodische Panzerkleidung;9;RG;63;;;;
Ares Victory: Globetrotter Kleidung;Hochmodische Panzerkleidung;7;RG;63;;;Schnellzugriff;
Ares Victory: Wild Hunt;Hochmodische Panzerkleidung;12;RG;63;;;Schnellzugriff;
Ares Victory: Industrious;Hochmodische Panzerkleidung;9;RG;64;;;Schnellzugriff;
Ares Victory: Big Game Hunter;Hochmodische Panzerkleidung;14;RG;64;;;Maßanfertigung;
Ares Victory: Rapid Transit;Hochmodische Panzerkleidung;9;RG;65;Rapid Transit Detailing;;;
Ares Aktentaschen-Schild;Panzerung;+4;CA;136;;Ares Briefcase Shield;;
Formangepasste Panzerung, Hemd;Panzerung;+1;2050;192;;;;
Formangepasste Panzerung, Halbkörper;Panzerung;+2;2050;192;;;;
Formangepasste Panzerung, Ganzkörper;Panzerung;+3;2050;192;;;;
Gefütterter Mantel;Panzerung;9;2050;192;;;;
Helm;Panzerung;+2;2050;192;;;;
Kunstlederkleidung;Panzerung;3;2050;192;;;;
Lederkleidung;Panzerung;4;2050;192;;;;
Panzerjacke;Panzerung;12;2050;192;;;;
Panzerkleidung;Panzerung;6;2050;192;;;;
Panzerweste;Panzerung;9;2050;192;;;;
Schwere Panzerung, Vollkörper;Panzerung;18;2050;192;Full Body Armor Mods;;;
Schwere Panzerung, Teilpanzer;Panzerung;15;2050;192;;;;
E'lyzée Elio: Anzug Bra's;Hochmodische Panzerkleidung;8;SAG;91;;;Maßanfertigung;
E'lyzée Elio: Kleid Tha'il;Hochmodische Panzerkleidung;6;SAG;91;;;Maßanfertigung;
E'lyzée Elio: Bra's Cape;Hochmodische Panzerkleidung;10;SAG;91;;;Maßanfertigung (Kombination);+2
E'lyzée Elio: Tha'il Cape;Hochmodische Panzerkleidung;8;SAG;91;;;Maßanfertigung (Kombination);+2
Franzinger Fashion Tenor: Frack-Kombination;Hochmodische Panzerkleidung;8;SAG;92;;;Maßanfertigung;
Franzinger Fashion Tenor: Mantel;Hochmodische Panzerkleidung;10;SAG;92;;;Maßanfertigung (Kombination);+2
Rheingold Pro Tec Plus: Anzug;Hochmodische Panzerkleidung;9;SAG;92;;;Maßanfertigung;
Rheingold Pro Tec Plus: Mantel;Hochmodische Panzerkleidung;10;SAG;92;;;Maßanfertigung (Kombination);+3
StattKrieg: Panzerweste;Hochmodische Panzerkleidung;8;SAG;93;;;;
StattKrieg: Panzerjacke;Hochmodische Panzerkleidung;10;SAG;93;;;;
StattKrieg: Gefütterter Overall;Hochmodische Panzerkleidung;8;SAG;93;;;;
StattKrieg: Helm;Hochmodische Panzerkleidung;+2;SAG;93;;;;
Rockblood Oldschool;Panzerung;8;TCT;186;;;;
Rockblood Panzerhemd;Panzerung;6;TCT;186;;;;
"Ares Firewatch ""Bug Stomper""";Panzerung;20;SL;130;;;Maßanfertigung;
Yamatetsu Naval Technologies Rampart;Panzerung;+10;SL;130;;;;
Pantheon Industries Hartschalenrucksack;Panzerung;12;KC;70;;;Zuggriff;
Standard-Hartschalenrucksack;Panzerung;8;KC;70;;;Zuggriff;
FleetHead Kappe;Panzerung;0;HAMG;173;;;;
Rheingold Friesennerz;Panzerung;8;HAMG;173;;;Chemische Isolierung;
Ares Victory Friesennerz;Panzerung;6;HAMG;173;;;Chemische Isolierung;
