Name;KATEGORIE;ART;REICHWEITE;SCHADEN;DAUER;ENTZUG;SEITE;Widerstand;Elementarschaden;Erläuterungen
[Attribut] Senken (Essenz);Heilzauber;P;B;;A;F - 2;SG S. 109;[Zielattribut]+Willenskraft;;[ATTRIBUT] SENKEN (ESSENZ) Art: P Reichweite: B Dauer: A Entzug: KS - 2 Dieser Zauber schwächt das Ziel, indem er ein bestimmtes Attribut senkt. Es gibt für jedes Geistige und Körperliche Attribut eine eigene Version dieses Zaubers, nicht aber für die Spezialattribute Edge, Essenz, Magie oder Resonanz. Der Zauber kann sowohl gegen natürliche als auch gegen verstärkte Attribute wirken. Dieser Zauber wird als Vergleichende Probe auf Spruchzauberei + Magie [Kraftstufe] gegen [Zielattribut] + Willenskraft des Ziels gewirkt. Wenn der Zauberer gewinnt, wird das Attribut um die Anzahl der Nettoerfolge reduziert. Wenn ein Körperliches Attribut auf 0 sinkt, ist das Opfer bewegungsunfähig und paralysiert. Wenn ein Geistiges Attribut auf 0 sinkt, ist das Ziel vollkommen verwirrt und steht einfach nur in der Gegend herum. Das Senken eines Attributs verändert auch abgeleitete Werte, die von diesem Attribut abhängen (wie etwa den Initiativewert bei Intuition oder Reaktion oder die Anzahl der Schadenskästchen bei Konstitution), solange der Zauber aufrechterhalten wird.
[Attribut] Steigern (Essenz);Heilzauber;P;B;;A;F - 3;SG S. 109;;;[ATTRIBUT] STEIGERN (ESSENZ) Art: P Reichweite: B Dauer: A Entzug: KS - 3 Dieser Zauber erhöht bei einem freiwilligen Ziel ein natürliches oder verstärktes Attribut. Es gibt für jedes Geistige und Körperliche Attribut eine eigene Version dieses Zaubers, nicht aber für die Spezialattribute Edge, Essenz, Magie oder Resonanz. Die Kraftstufe des Zaubers muss mindestens so hoch sein wie der (verstärkte) Wert des Zielattributs. Das Attribut wird pro Erfolg bei der Spruchzaubereiprobe um 1 erhöht, wobei der maximale Bonus von +4 (durch die Summe aller Verbesserungen) auf ein Attribut nicht überschritten werden kann. Überzählige Erfolge verfallen. Jedes Attribut kann gleichzeitig nur von einem solchen Zauber betroffen sein. Das Steigern eines Attributs kann auch abgeleitete Werte beein ussen, die von diesem Attribut abhängen (ein Steigern der Reaktion beein usst die Initiative, eine Steigerung der Konstitution kann vorübergehend zusätzliche Kästchen auf dem Körperlichen Zustandsmonitor erzeugen usw.).
[Element] Reinigen (Umgebung, Flächenwirkung);Manipulationszauber;P;BF (F);;P;F - 3;SG S. 124;;;[ELEMENT] REINIGEN (UMGEBUNG, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: P Entzug: KS - 3 [Element] Reinigen ist ein Flächenzauber, der alle Verunreinigungen aus einem Volumen eines bestimmten Elements innerhalb des Wirkungsbereichs entfernt. Für jedes Element (Wasser Reinigen, Erde Reinigen usw.) muss ein separater Zauber gelernt werden. Luft Reinigen könnte zum Beispiel einen Raum von giftigen Dämpfen befreien, Wasser Reinigen könnte eine Quelle säubern. Die Erfolge bei der Spruchzaubereiprobe sind das Maß dafür, wie gründlich das Element gereinigt wird. Leicht schlammiges Wasser benötigt vielleicht nur 1 Erfolg zur Reinigung, während es bei Abwasser aus einer Fabrik vielleicht 4 Erfolge braucht, damit es trinkbar wird. Das Volumen des Elements, das gereinigt werden kann, ist gleich dem Magieattribut des Zauberers x 10 Kubikmeter.
[Element]-Aura (Umgebung);Manipulationszauber;P;BF;;A;F + 1;SG S. 124;;;[ELEMENT]-AURA (UMGEBUNG) Art: P Reichweite: BF Dauer: A Entzug: KS + 1 Dieser Zauber erzeugt eine irrende Aura elementarer Energie um ein freiwilliges Ziel, die diesem etwas von den Merkmalen des betreffenden Elements verleiht. Für jedes Element muss ein separater Zauber - wie etwa Flammenaura, Elektrische Aura, Kälteaura und so weiter - erlernt werden. Die Auren erhöhen den Schaden von Nahkampfangriffen je nach Art des Elements um die Erfolge bei der Spruchzaubereiprobe. Die Angriffe gelten außerdem - je nach Zauberversion - als Kälte-, Elektrizitäts-, Feuer- oder andere Angriffe (siehe S. 121 und SR5, S. 174) und haben die jeweils geltende Durchschlagskraft. Alle erfolgreichen Nahkampfangriffe gegen das Ziel des Zaubers führen dazu, dass der Angreifer dem Schaden durch die Aura (deren Schadenscode gleich der Anzahl der Erfolge bei der Spruchzaubereiprobe ist) widerstehen muss.
[Element]-Granate (Indirect, Elemental);Kampfzauber;P;BF (F);K;Apez.;F-1;SSP S. 17;;;
[Element]-Wand (Umgebung, Flächenwirkung);Manipulationszauber;P;BF (F);;A;F + 2;SG S. 124;;;[ELEMENT]-WAND (UMGEBUNG, FLÄCHENWIRKUNG) Art: P Reichweite: BF (F) Dauer: A Entzug: KS + 2 Dieser Zauber erschafft eine Wand aus dem entsprechenden Element. Für jedes Element muss ein separater Zauber - wie etwa Feuerwand, Eiswand oder Rauchwand - erlernt werden. Die Wand hat eine Breite und Höhe von maximal der Kraftstufe des Zaubers in Metern. Der Zauberer kann die Wand auch als Kuppel mit einem Radius und einer Höhe gleich der halben Kraftstufe in Metern formen. Die Dicke der Wand kann bis zu einem Meter betragen. Der Zauberer kann diese Größe anpassen, wenn er die Metamagie Zauberformung (SR5, S. 325) beherrscht. Wer mit der Wand in Kontakt kommt, erleidet den passenden Elementarschaden (SR5, S. 174), dessen Schadenscode gleich der Kraftstufe ist. Manche Elementwände (Feuer, Rauch usw.) sind nicht fest und halten Angriffe nicht auf, können aber nach Maßgabe des Spielleiters Modifikatoren für Sichtverhältnisse hervorrufen. Feste Wände (Erde, Eis usw.) haben eine Panzerungs- und Strukturstufe gleich der Anzahl der Erfolge bei der Spruchzaubereiprobe.
[Fahrzeug] Zerstören (Direkt);Kampfzauber;P;BF;K;S;F - 3;SG S. 119;KON+Antimagie;;[FAHRZEUG] ZERSTÖREN (DIREKT) Art: P Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 Ihr wollt die Straßen, die Meere oder den Himmel beherrschen? Dann ist dieser Zauber genau das Richtige für euch. [Fahrzeug] Zerstören ist eine Variante von [Metatyp/Spezies] Erschlagen (S. 118), die auf eine bestimmte Fahrzeug- oder Drohnenart ausgelegt ist. Für jede Fahrzeugart (z. B. Flugzeuge, Schiffe, Bodenfahrzeuge) muss eine separate Version dieses Zaubers erlernt werden, zum Beispiel Flugzeug Zerstören. Der Zauber hat bei anderen Fahrzeugen als denen, auf die er ausgelegt ist, keine Wirkung.
[Fokus] Verdrängen (Direkt);Kampfzauber;M;BF;speziell;S;F - 2;SG S. 119;WIL+Antimagie;;[FOKUS] VERDRÄNGEN (DIREKT) Art: M Reichweite: BF Schaden: speziell Dauer: S Entzug: KS - 2 Dieser Zauber kanalisiert Mana, um der astralen Gestalt eines bestimmten aktivierten Fokus temporär Schaden zuzufügen und ihn damit zu verdrängen. Ein Fokus, der durch diesen Zauber Schaden in Höhe seiner Kraftstufe erleidet, wird verdrängt und deaktiviert. Der Charakter, an den der Fokus gebunden ist, erhält keine Boni oder anderen Wirkungen aus dem Fokus, bis er ihn wieder aktiviert hat. Zu Beginn der nächsten Kampfrunde - und dann zu Beginn jeder weiteren Kampfrunde - wird eine Anzahl an temporären Schadenskästchen gleich der Kraftstufe des Fokus „geheilt“. Sobald sämtlicher Schaden geheilt ist, kann der Besitzer den Fokus wieder mit einer Einfachen Handlung aktivieren. Das Verdrängen eines Zauberspeichers beendet auch den Zauber, den er aufrechterhält. Astral projizierende Zauberer, deren Foki verdrängt werden, können sie erst wieder aktivieren, wenn sie dazu in ihren Körper zurückkehren. Dieser Zauber muss für jede Art von Fokus separat erlernt werden, also z. B. Waffenfokus Verdrängen, Zauberspeicher Verdrängen oder Herbeirufungsfokus Verdrängen.
[Freien Geist] Vernichten (Direkt);Kampfzauber;M;BF;K;S;F - 3;SG S. 119;WIL+Antimagie;;[FREIEN GEIST] VERNICHTEN (DIREKT) Art: M Reichweite: BF Schaden: K Dauer: S Entzug: KS - 3 Dieser Zauber ist eine Spezialversion des Zaubers [Metatyp/Spezies] Erschlagen (S. 118) und soll einen bestimmten Freien Geist ausschalten. Für jeden Freien Geist muss eine separate Version dieses Zaubers erlernt werden, deren Zauberformel die Geisterformel (S. 237) des Ziels enthalten muss. Dieser Zauber wirkt nicht gegen andere Geister, selbst wenn sie von der gleichen Art wie der entsprechende Geist sind. Die Zauberformel zählt für alle Zwecke als Kopie der Geisterformel.
[Insektengeist]-Insektizid (Direkt, Flächenwirkung);Kampfzauber;M;BF (F);K;S;F + 1;SG S. 120;WIL+Antimagie;;[INSEKTENGEIST]-INSEKTIZID (DIREKT, FLÄCHENWIRKUNG) Art: M Reichweite: BF (F) Schaden: K Dauer: S Entzug: KS + 1 Insektengeister sind für Zauberer besonders gefährlich. Nach dem Fall Chicagos wurde dieser Zauber recht populär, als die Bedrohung durch die „Bugs“ immer mehr zunahm. Insektizid ist eine Spezialvariante von [Metatyp/Spezies] Erschlagen (S. 118), die auf eine bestimmte Art von Insektengeist ausgelegt ist. Für jede Art von Insektengeist muss eine separate Version erlernt werden, wie zum Beispiel Ameisengeist-Insektizid oder Schabengeist-Insektizid.
